"year","month","bt_temp"
2006,9,8.170658542
2006,10,8.398434439
2006,11,8.743155839
2006,12,8.745966075
2007,1,8.501789245
2007,2,7.758049322
2007,3,7.316531768
2007,4,6.810474931
2007,5,6.398203106
2007,6,6.329492447
2007,7,6.577257361
2007,8,6.768443667
2007,9,6.980420079
2007,10,7.132554638
2007,11,7.284868085
2007,12,7.147031336
2008,1,6.992288456
2008,2,6.794082868
2008,3,6.48331251
2008,4,6.304921459
2008,5,6.16043604
2008,6,6.381932487
2008,7,6.573367187
2008,8,6.758123733
2008,9,7.02250261
2008,10,7.311379882
2008,11,7.311397388
2008,12,7.087347511
2009,1,6.857210032
2009,2,6.479473137
2009,3,6.385648055
2009,4,6.262092256
2009,5,6.571463615
2009,6,6.743010491
2009,7,6.635067841
2009,8,6.787374819
2009,9,7.170876432
2009,10,7.542004249
2009,11,7.855062569
2009,12,7.310203689
2010,1,7.076883803
2010,2,7.056579565
2010,3,6.510188348
2010,4,6.945880641
2010,5,7.272164793
2010,6,7.45068397
2010,7,7.889805729
2010,8,8.371113704
2010,9,8.429919195
2010,10,8.524633133
2010,11,8.723579326
2010,12,9.140192201
2011,1,9.048892359
2011,2,8.79816354
2011,3,8.580968973
2011,4,8.502698649
2011,5,7.985338576
2011,6,7.892147375
2011,7,8.081032313
2011,8,8.144266054
2011,9,8.283278225
2011,10,8.579074015
2011,11,8.695146652
2011,12,8.608438265
2012,1,8.42136749
2012,2,8.139544667
2012,3,7.981517465
2012,4,8.035154786
2012,5,8.084657136
2012,6,8.105848997
2012,7,8.327965308
2012,8,8.722168771
2012,9,8.71917565
2012,10,8.771320861
2012,11,9.256330781
2012,12,9.462895535
2013,1,8.998090647
2013,2,8.206437999
2013,3,7.87245216
2013,4,7.531882481
2013,5,7.412365165
2013,6,7.497157994
2013,7,7.554710065
2013,8,7.858074457
2013,9,8.445668724
2013,10,8.90242782
2013,11,8.967192539
2013,12,8.727917361
2014,1,8.745736022
2014,2,8.522800841
2014,3,8.038622106
2014,4,7.670486825
2014,5,7.675480516
2014,6,7.409617967
2014,7,7.020537157
2014,8,7.21631968
2014,9,7.679179091
2014,10,8.243120491
2014,11,8.687460326
2014,12,8.908968638
2015,1,9.191561251
2015,2,8.514906098
2015,3,8.032892264
2015,4,7.760582904
2015,5,7.789358139
2015,6,7.837102754
2015,7,7.880961589
2015,8,8.236765249
2015,9,8.494297877
2015,10,8.575306566
2015,11,8.739896409
2015,12,8.684576686
2016,1,8.452614168
2016,2,7.838912873
2016,3,8.203477526
2016,4,7.928695457
2016,5,7.800915017
2016,6,7.8667107
2016,7,7.906184186
2016,8,8.465356606
2016,9,9.033173997
2016,10,9.553295532
2016,11,9.673386302
2016,12,9.647264477
2017,1,9.380969487
2017,2,8.619957508
2017,3,7.952873607
2017,4,7.428464816
2017,5,7.70581129
2017,6,7.920433269
2017,7,8.078782463
2017,8,8.209549349
2017,9,8.236905805
2017,10,8.475960648
2017,11,9.018018632
2017,12,9.180118688
2018,1,8.942430822
2018,2,8.781184632
2018,3,8.073256473
2018,4,8.008888895
2018,5,8.13197789
2018,6,8.255628311
2018,7,8.248195565
2018,8,8.43130279
2018,9,8.684365874
2018,10,8.986448169
2018,11,8.789120714
2018,12,8.909922719
2019,1,8.494059587
2019,2,8.179049605
2019,3,7.834017047
2019,4,7.728191867
2019,5,8.037903528
2019,6,8.228270578
2019,7,8.562172511
2019,8,8.976379622
2019,9,9.387498984
2019,10,9.649980072
2019,11,9.811870838
2019,12,9.780723429
2020,1,9.770943382
2020,2,9.655394397
2020,3,9.21100206
2020,4,8.817412545
2020,5,9.317458528
2020,6,9.513432051
2020,7,9.668350487
2020,8,9.819828806
2020,9,9.903291458
2020,10,10.15162794
2020,11,10.16861437
2020,12,9.96024639
