"","E_km","N_km","Year","Category"
"80",591.882122100349,4673.74453246718,2020,2
"81",546.012702295198,4667.20300165541,2021,2
"82",570.073681173796,4653.73609231076,2022,2
"83",556.01832065414,4677.62610185264,1982,3
"84",564.474805787386,4651.71752282623,1983,3
"85",556.993937101102,4660.54613122803,1984,3
"86",561.731583762402,4663.5929574456,1985,3
"87",569.822542623271,4639.18845545981,1986,3
"88",581.252615686756,4635.35680963697,1987,3
"89",599.941158433195,4630.5138381842,1988,3
"90",577.609854111682,4630.79632467486,1989,3
"91",605.346284646582,4631.65729915907,1990,3
"92",606.403896018012,4641.15474917431,1991,3
"93",586.529357414123,4646.78853464375,1992,3
"94",627.165970262246,4643.70042311065,1993,3
"95",622.391110385213,4652.99577063709,1994,3
"96",594.473918820475,4650.98140552173,1995,3
"97",614.237457476054,4650.06835735912,1996,3
"98",613.235125393922,4653.20496026278,1997,3
"99",592.651053010693,4659.02230108053,1998,3
"100",569.863347128304,4665.52975845883,1999,3
"101",623.316538434058,4648.91800341659,2000,3
"102",610.1403473052,4664.24037248724,2001,3
"103",584.621135961151,4665.85108852069,2002,3
"104",546.339332724558,4670.21661545488,2003,3
"105",578.052245693754,4670.07048974592,2004,3
"106",580.804684574059,4664.33958170636,2005,3
"107",569.55920750068,4672.78092676243,2006,3
"108",596.167815763029,4657.14367565067,2007,3
"109",602.987978450699,4670.20816350683,2008,3
"110",608.865356112673,4664.28838919089,2009,3
"111",623.644699590223,4652.90842602199,2010,3
"112",584.704618786765,4665.29646541763,2011,3
"113",586.341887876563,4661.49083159465,2012,3
"114",599.773769198623,4659.96597090611,2013,3
"115",584.513466464418,4679.19866709516,2014,3
"116",589.750672582913,4681.55534561144,2015,3
"117",540.42545946599,4686.87941338477,2016,3
"118",581.86549438038,4669.08261269731,2017,3
"119",549.106915607865,4708.07805901165,2018,3
"120",569.108124802895,4692.49869732093,2019,3
"121",558.343893334209,4682.34990175209,2020,3
"122",583.975893934239,4674.45068041993,2021,3
"123",596.97033896051,4658.80248014,2022,3
