"HAUL_ID","INDEX_NAME","SURVEY","STOCK","AREA","STRATUM","YEAR","DATE","LAT","LON","COD_N","COD_KG","DEPTH","SURFACE_TE","BOTTOM_TEM","SALINITY","BOTTOM_TYP","SEASON","AGEGROUP","AGE_N","AGE_KG","Data_type","TIME","RESPONSE","AREA_SWEPT","cobble_P","gravel_P","rock_P","mud_P","sand_P","BATHY_DEPT","oisst","rugos","COND","HAUL_ID2","setlat","endlat","setlon","endlon"
"201804_1280_3","NEFSC BTS_WGOM_FALL","NEFSC BTS","WGOM","WGOM",1280,2018,"10/12/2018 00:00:00",42.336647,-69.076437,0,0,229,NA,0,NA,NA,"B.FALL","Age0-2",0,0,"Biomass_KG",74,0,0.0384,0,0,0,1,1,-225,17.2899990082,0.165750518441,"SMOOTH","2018_FALL_250",42.336646,42.34920767,-69.07643617,-69.09168967
"201804_1280_4","NEFSC BTS_WGOM_FALL","NEFSC BTS","WGOM","WGOM",1280,2018,"11/1/2018 00:00:00",42.764812,-69.549968,0,0,204,NA,7.3,NA,NA,"B.FALL","Age0-2",0,0,"Biomass_KG",74,0,0.0384,0,0.2412,0,0.7282,0.9179,-207,11.6199998856,0.82971405983,"ROUGH","2018_FALL_283",42.76481133,42.759122,-69.549969,-69.57160983
"201804_1280_6","NEFSC BTS_WGOM_FALL","NEFSC BTS","WGOM","WGOM",1280,2018,"11/1/2018 00:00:00",42.840157,-69.94803,0,0,216,NA,7,NA,NA,"B.FALL","Age0-2",0,0,"Biomass_KG",74,0,0.0384,0,0.3961,0,0.7922,0.7206,-216,11.4899997711,0.472221046686,"SMOOTH","2018_FALL_285",42.84015683,42.83257833,-69.94803083,-69.927892
"201804_1370_5","NEFSC BTS_WGOM_FALL","NEFSC BTS","WGOM","WGOM",1370,2018,"11/1/2018 00:00:00",42.841003,-69.39892,1,3.566,151,NA,7.9,NA,NA,"B.FALL","Age0-2",0,0,"Biomass_KG",74,0,0.0384,0,0.4999,0,0.7505,1,-140,11.6399993896,1.3449242115,"ROUGH","2018_FALL_282",42.84100333,42.8258935,-69.39891933,-69.4071465
"201804_1370_6","NEFSC BTS_WGOM_FALL","NEFSC BTS","WGOM","WGOM",1370,2018,"11/9/2018 00:00:00",43.050857,-69.7873,0,0,174,NA,7.2,NA,NA,"B.FALL","Age0-2",0,0,"Biomass_KG",74,0,0.0384,0,0.5377,0,0.8284,0.8884,-172,11.1899995804,0.642572462559,"SMOOTH","2018_FALL_325",43.05085617,43.03609333,-69.7872995,-69.79485933
"201804_1400_2","NEFSC BTS_WGOM_FALL","NEFSC BTS","WGOM","WGOM",1400,2018,"11/12/2018 00:00:00",43.300462,-70.174927,0,0,115,NA,8.7,NA,NA,"B.FALL","Age0-2",0,0,"Biomass_KG",74,0,0.0384,0,0.1001,0,0.7498,0.7494,-110,9.96999931335,0.806623339653,"SMOOTH","2018_FALL_334",43.30046117,43.31544033,-70.174926,-70.16532
"201902_1260_1","NEFSC BTS_WGOM_SPRING","NEFSC BTS","WGOM","WGOM",1260,2019,"5/11/2019 00:00:00",42.670167,-70.215833,3,1.89,91,NA,4.7,NA,NA,"A.SPRING","Age0-2",0,0,"Biomass_KG",75,0,0.0384,1,0.8,1,0.9,1,-87,9.65999984741,0.411362916231,"SMOOTH","2019_SPRING_387",42.67016667,42.65866667,-70.21583333,-70.19966667
"201902_1260_3","NEFSC BTS_WGOM_SPRING","NEFSC BTS","WGOM","WGOM",1260,2019,"5/12/2019 00:00:00",42.336333,-70.350333,1,0.002,92,NA,0,NA,NA,"A.SPRING","Age0-2",1,0.002,"Biomass_KG",75,1,0.0384,0,0.4998,0,0.9002,1,-91,10.1099996567,0.921363413334,"SMOOTH","2019_SPRING_400",42.33633333,42.3405,-70.35033333,-70.37216667
"201902_1260_4","NEFSC BTS_WGOM_SPRING","NEFSC BTS","WGOM","WGOM",1260,2019,"5/10/2019 00:00:00",42.517,-70.595333,1,6.224,70,NA,4.4,NA,NA,"A.SPRING","Age0-2",0,0,"Biomass_KG",75,0,0.0384,0,0.3501,0,0.8501,0.8614,-68,10.1499996185,0.603412508965,"SMOOTH","2019_SPRING_385",42.517,42.51716667,-70.59533333,-70.61733333
"201902_1260_5","NEFSC BTS_WGOM_SPRING","NEFSC BTS","WGOM","WGOM",1260,2019,"5/12/2019 00:00:00",42.434167,-70.152167,14,15.64,83,NA,4.6,NA,NA,"A.SPRING","Age0-2",0,0,"Biomass_KG",75,0,0.0384,0,0.8999,0,0.95,1,-79,9.68999958038,-0.957714319229,"SMOOTH","2019_SPRING_399",42.43416667,42.45,-70.15216667,-70.146
