INDEX_NAME,SURVEY,STOCK,AREA,STRATUM,YEAR,HAUL_ID,DATE,COD_N,COD_KG,DEPTH,SURFACE_TE,BOTTOM_TEM,SALINITY,BOTTOM_TYP,SEASON,AGEGROUP,AGE_N,AGE_KG,Data_type,TIME,RESPONSE,AREA_SWEPT,cobble_P,gravel_P,rock_P,mud_P,sand_P,BATHY_DEPT,oisst,rugos,COND,BATHY.DEPTH,dep.strat,lon,lat
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1240,2016,201602_1240_5,5/18/2016 00:00,0,0,178,NA,6.5,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,69,0,0.0384,0,0.3316,0,1,1,-168,8.809999466,0.876538098,ROUGH,168,deep,-69.02814,42.219625
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1260,2016,201604_1260_2,10/22/2016 00:00,0,0,36,NA,14.7,NA,NA,B.FALL,Age0-2,0,0,Biomass_KG,70,0,0.0384,0,0.95,0,0.9,1,-28,15,0.415505588,SMOOTH,28,shallow,-70.217473,42.224803
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1260,2019,201904_1260_4,11/10/2019 00:00,0,0,49,NA,0,NA,NA,B.FALL,Age0-2,0,0,Biomass_KG,76,0,0.0384,0,1,0,1,1,-41,10.96000004,0.579207778,SMOOTH,41,shallow,-70.167395,42.242978
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1260,2021,202102_1260_3,4/24/2021 00:00,0,0,82,NA,4.9,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,79,0,0.0384,0,0.2001,0,1,1,-74,6.869999886,0.075256921,SMOOTH,74,shallow,-70.469667,42.282
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1260,2016,201602_1260_2,6/3/2016 00:00,42,43.495,32,NA,0,NA,NA,A.SPRING,Age0-2,2,0.318,Count,69,2,0.0384,0,0.95,0,1,1,-29,14.46999931,-0.358431697,SMOOTH,29,shallow,-70.293657,42.300922
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1280,2021,202104_1280_6,10/26/2021 00:00,0,0,250,NA,8.5,NA,NA,B.FALL,Age0-2,0,0,Biomass_KG,80,0,0.0384,0,0,0,1,1,-244,14.44999981,0.02994794,SMOOTH,244,deep,-69.631167,42.305833
NEFSC BTS_WGOM_FALL,NEFSC BTS,WGOM,WGOM,1280,2017,201704_1280_6,10/24/2017 00:00,0,0,223,NA,8.3,NA,NA,B.FALL,Age0-2,0,0,Biomass_KG,72,0,0.0384,0,0,0,1,1,-224,15.98999977,0.402136385,SMOOTH,224,deep,-69.077527,42.35055
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1280,2017,201702_1280_5,5/4/2017 00:00,0,0,255,NA,0,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,71,0,0.0384,0,0,0,0.8513,0.8254,-243,7.25,0.442107379,SMOOTH,243,deep,-69.254,42.362333
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1260,2016,201602_1260_1,6/3/2016 00:00,1,1.077,88,NA,5.7,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,69,0,0.0384,0,0.6999,0,0.9501,0.9542,-70,14.46999931,0.527091384,SMOOTH,70,shallow,-70.453733,42.371783
NEFSC BTS_WGOM_SPRING,NEFSC BTS,WGOM,WGOM,1280,2019,201902_1280_4,5/11/2019 00:00,0,0,249,NA,7.9,NA,NA,A.SPRING,Age0-2,0,0,Biomass_KG,75,0,0.0384,0,0.1481,0,0.9548,0.9202,-235,9.099999428,1.045388341,ROUGH,235,deep,-69.817667,42.383667
